noise_level,missing_rate,runs,mae_mean,mae_std,rmse_mean,r2_mean,r2_std,bias_mean,delta_mae_vs_baseline,delta_r2_vs_baseline
0.0,0.0,4,17.254816772374912,0.0,22.610429818563308,0.6646893137740062,0.0,0.4916955602536996,0.0,0.0
0.0,0.05,4,18.23349497885835,0.2312816376948848,23.51267967333188,0.6354858740772401,0.0069824559078003,0.6632351127554621,0.978678206483437,-0.029203439696766
0.0,0.1,4,18.84306597956307,0.3299284655224581,24.54489644656234,0.6057544781297379,0.0164527749592752,0.7741704545454546,1.588249207188159,-0.0589348356442682
0.0,0.2,4,19.68555540873855,0.579029275868443,25.475125254533477,0.576405026299915,0.0137257534402201,0.715140503875969,2.430738636363639,-0.0882842874740912
0.02,0.0,4,17.450667899929527,0.052396676629932,22.70824547052184,0.6607126997373788,0.0033238165137235,0.7508454897815365,0.1958511275546151,-0.0039766140366274
0.02,0.05,4,18.032910588442565,0.3334788579323353,23.490400116849653,0.6390415860573988,0.0087576980132641,0.9584798273431993,0.7780938160676527,-0.0256477277166073
0.02,0.1,4,18.95630223749119,0.4932812956927195,24.144861057772843,0.6167195491524899,0.0287749315043024,0.6984678470754055,1.701485465116278,-0.0479697646215162
0.02,0.2,4,19.58038328047921,0.5749548378602951,25.22834061678152,0.5819322971307146,0.0245023329213658,1.100167107117688,2.3255665081042984,-0.0827570166432916
0.05,0.0,4,17.875847339675826,0.0946783986319437,23.088446982344,0.6474628641320853,0.0090026274860362,0.6767742248062012,0.6210305673009131,-0.0172264496419208
0.05,0.05,4,18.14865186751233,0.2439330154570987,23.396173351942988,0.6418062697125109,0.0103642270451393,0.699643763213531,0.893835095137419,-0.0228830440614953
0.05,0.1,4,18.15331333685694,0.5345824174598478,23.5981620304212,0.6327156960890541,0.0211576720550299,0.8323010042283295,0.8984965644820271,-0.0319736176849521
0.05,0.2,4,19.52652933403805,0.6969083669351497,25.1827830342716,0.5836226639488696,0.028734412911424,0.5524260923185347,2.27171256166314,-0.0810666498251365
0.1,0.0,4,17.714537614517265,0.4175959876513033,23.058437563473877,0.6505953504504542,0.0142904409900956,0.3266967054263568,0.4597208421423531,-0.0140939633235519
0.1,0.05,4,18.02989138477801,0.0968660476106097,23.41072115848769,0.6393395991961414,0.0125082411028294,0.4376579457364336,0.7750746124030989,-0.0253497145778648
0.1,0.1,4,18.711303382663846,0.637523477716028,24.24781686559811,0.6123445159337815,0.0311448427685406,0.9272824171952084,1.456486610288934,-0.0523447978402247
0.1,0.2,4,19.96575378787879,0.6649295037014847,25.972237045144823,0.559638352554829,0.0425855402664036,0.2270305673009159,2.710937015503877,-0.1050509612191772
