feature_set,model,cv,n_features,usable_rows,n_folds,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,bias_mean,bias_std
anthro_only,RandomForest,GroupKFold,2,219,5,28.919285116340085,2.431167435263981,35.95638834743854,2.657441978729428,0.1602966859854079,0.0911722754739092,2.2331218840727813,5.3668675178628815
recommended,RandomForest,GroupKFold,20,219,5,17.254816772374912,2.6698812912160967,22.610429818563308,2.317070813873325,0.6646893137740062,0.0682732848993831,0.4916955602536996,4.208837275477688
recommended_no_anthro,RandomForest,GroupKFold,18,219,5,19.328781183932342,2.2216651106745604,25.284634532627564,3.1770350183276546,0.5813393410593243,0.0962081074335495,0.7442991543340371,3.513196083233739
timing_only,RandomForest,GroupKFold,4,219,5,26.041265845330383,3.2449701498881574,33.53764935281624,3.725575904278356,0.2547415334656538,0.1975382952551136,0.5562402840699361,5.09522007450095
anthro_only,Ridge,GroupKFold,2,219,5,26.5113663339457,2.727506333921077,32.890568543739505,3.201704910240082,0.2992448287458743,0.083680263279908,0.2452348521131549,3.249785466374416
recommended,Ridge,GroupKFold,20,219,5,18.955491977537616,3.143694423337988,25.36827533414532,5.27104321508346,0.5757957278024854,0.1479692739469495,-0.2969928655616196,4.629198683418286
recommended_no_anthro,Ridge,GroupKFold,18,219,5,23.833045857441427,4.043975231777546,30.782772692488145,6.639198169134489,0.3768550447303164,0.2322942520324598,-0.5301237942683006,4.1101893370656
timing_only,Ridge,GroupKFold,4,219,5,29.94253385574077,2.122090116186729,38.2513693284052,3.2795953119228423,0.0490879711986707,0.1238841301951392,0.3917460544064824,3.8358604103592655
anthro_only,RandomForest,KFold,2,219,5,27.76125051019863,3.717989538627015,35.1880153542129,2.9934292875840685,0.1612014556721016,0.2498083400142548,0.6939226725500252,8.285708581133314
recommended,RandomForest,KFold,20,219,5,15.805294926004228,1.8391734389342045,21.09986491397221,3.307468648075534,0.7046893306497776,0.073921080710686,-1.015218111346019,3.637447758283564
recommended_no_anthro,RandomForest,KFold,18,219,5,17.874963354474982,2.745509631586339,23.34389255103702,4.426324449127197,0.6369362114901698,0.1130326691669306,-1.713244538407329,3.0736297370378955
timing_only,RandomForest,KFold,4,219,5,23.60654804859224,2.872381091610357,31.094107230303848,3.86858402733372,0.3610575371916264,0.1083113379418899,-1.6974765076009248,6.411989291566231
anthro_only,Ridge,KFold,2,219,5,26.75979343361872,2.4031949738597325,33.03892756619295,2.5660101038207714,0.2771882533303939,0.0891563416586471,0.0970625773597941,8.675632045029754
recommended,Ridge,KFold,20,219,5,18.79319925218813,2.168464836769673,25.75152379579648,4.974577221850177,0.5574873429640141,0.1344792804803334,-0.543130613821327,6.755257947581184
recommended_no_anthro,Ridge,KFold,18,219,5,23.40006500520832,4.25516076810525,30.85739292283236,6.905961677078274,0.3444852506084173,0.274027702982992,-0.6560743978774753,4.922072261184536
timing_only,Ridge,KFold,4,219,5,29.90781405931939,2.495022443377434,38.34055383366761,2.6267738048327343,0.0178008432378409,0.2000851407373169,0.2935635215059193,4.420903410261978
